episode_id	env_time	agent_id	action
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	2	3	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	2	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	3	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	3	3	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	3	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	3	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	4	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	4	3	3
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	4	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	4	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	4	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	5	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	5	3	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	5	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	5	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	5	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	1	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	3	3
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	6	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	1	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	2	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	3	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	4	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	7	8	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	0	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	1	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	2	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	3	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	5	3
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	7	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	8	8	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	1	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	2	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	3	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	7	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	9	8	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	1	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	2	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	3	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	4	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	6	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	7	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	10	8	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	0	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	1	3
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	2	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	3	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	4	1
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	5	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	6	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	7	2
0f501bec-ec75-4d2a-b7c2-5fdd6e7aad27	11	8	2
