env_time	agent_id	episode_id	position
1	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
1	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
1	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
1	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
1	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
1	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
1	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
1	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
1	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
1	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
2	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
2	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
2	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
2	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
2	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
2	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
2	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
2	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
2	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
2	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
3	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
3	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
3	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
3	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
3	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
3	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
3	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
3	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
3	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 16), 1)
3	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
4	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
4	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
4	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
4	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
4	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
4	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
4	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
4	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
4	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 17), 1)
4	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
5	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
5	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
5	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
5	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
5	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 16), 3)
5	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
5	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
5	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
5	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 18), 1)
5	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
6	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
6	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
6	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
6	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
6	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 15), 3)
6	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
6	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
6	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
6	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 19), 1)
6	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 5), 1)
7	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((5, 6), 0)
7	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
7	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
7	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
7	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 14), 3)
7	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
7	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
7	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
7	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 20), 1)
7	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 6), 1)
8	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((4, 6), 0)
8	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
8	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
8	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
8	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 13), 3)
8	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
8	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
8	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
8	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 21), 1)
8	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 7), 1)
9	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((3, 6), 0)
9	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
9	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
9	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
9	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 12), 3)
9	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
9	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
9	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
9	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((19, 21), 0)
9	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 8), 1)
10	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((2, 6), 0)
10	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
10	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
10	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
10	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 11), 3)
10	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
10	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
10	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
10	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((18, 21), 0)
10	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 9), 1)
11	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((1, 6), 0)
11	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
11	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
11	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
11	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 10), 3)
11	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
11	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
11	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
11	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((17, 21), 0)
11	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 10), 1)
12	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((0, 6), 0)
12	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
12	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
12	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
12	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 9), 3)
12	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
12	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
12	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
12	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((16, 21), 0)
12	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((21, 11), 1)
13	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((0, 7), 1)
13	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
13	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
13	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
13	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 8), 3)
13	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
13	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
13	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
13	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((15, 21), 0)
13	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 11), 0)
14	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((0, 8), 1)
14	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
14	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
14	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
14	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 7), 3)
14	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
14	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
14	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
14	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((14, 21), 0)
14	9	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 12), 1)
15	0	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((0, 9), 1)
15	1	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
15	2	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 0)
15	3	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
15	4	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((20, 6), 3)
15	5	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
15	6	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 1)
15	7	1649ef98-e3a8-4dd3-a289-bbfff12876ce	(None, 3)
15	8	1649ef98-e3a8-4dd3-a289-bbfff12876ce	((13, 21), 0)
